  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 441   22    0   95.45 100.00    21     22   21      0     20    20   100.00
 442   34    0   93.10  96.43    27     29   28      0     31    31   100.00
 443   22    0   80.95  85.00    17     21   20      1     20    19    95.00
 444   16    0   75.00  92.31    12     16   13      1     15    15   100.00
============================================================================
                 78.04  80.70   6422  8229  7958    791   8226  7411    90.09
=== Summary ===

-- All --
Number of sentence        =    444
Number of Error sentence  =     24
Number of Skip  sentence  =      0
Number of Valid sentence  =    420
Bracketing Recall         =  78.04
Bracketing Precision      =  80.70
Bracketing FMeasure       =  79.35
Complete match            =   7.38
Average crossing          =   1.88
No crossing               =  37.14
2 or less crossing        =  73.10
Tagging accuracy          =  90.09

-- len<=40 --
Number of sentence        =    423
Number of Error sentence  =     23
Number of Skip  sentence  =      0
Number of Valid sentence  =    400
Bracketing Recall         =  78.34
Bracketing Precision      =  81.19
Bracketing FMeasure       =  79.74
Complete match            =   7.75
Average crossing          =   1.67
No crossing               =  38.75
2 or less crossing        =  76.50
Tagging accuracy          =  90.56
